open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,0.9712000,0.9830000,0.9623000,0.9791000,6832239,1741085999999,6655600.7147000,37011,3473338,3384430.8030000
1741086000000,0.9790000,0.9906000,0.9746000,0.9750000,6853847,1741089599999,6731453.3505000,37188,3724955,3660009.8696000
1741089600000,0.9750000,0.9814000,0.9644000,0.9709000,9090262,1741093199999,8831029.9580000,42158,4174685,4057564.0852000
1741093200000,0.9709000,0.9713000,0.9441000,0.9526000,21415996,1741096799999,20430245.6608000,82135,9128737,8708746.8220000
1741096800000,0.9528000,1.0079000,0.9455000,0.9588000,33907061,1741100399999,33171863.3541000,134196,17182717,16826514.4130000
1741100400000,0.9586000,0.9677000,0.9360000,0.9610000,24526593,1741103999999,23368738.6076000,111016,11615825,11073974.7937000
1741104000000,0.9610000,0.9657000,0.8680000,0.9166000,56700611,1741107599999,51363435.9574000,167675,24428820,22139897.3133000
1741107600000,0.9166000,0.9512000,0.9143000,0.9472000,21338699,1741111199999,19916055.0817000,92702,10724567,10013653.1090000
1741111200000,0.9473000,0.9638000,0.9379000,0.9593000,15163764,1741114799999,14387859.1628000,66092,7070189,6707361.0977000
1741114800000,0.9592000,0.9687000,0.9535000,0.9622000,13234904,1741118399999,12706246.3738000,61958,6429238,6174286.6002000
1741118400000,0.9623000,0.9702000,0.9404000,0.9427000,10274393,1741121999999,9831678.5744000,46256,4316003,4138042.3868000
1741122000000,0.9428000,0.9791000,0.9400000,0.9544000,14345003,1741125599999,13770148.1232000,62091,7137899,6848952.5267000
1741125600000,0.9545000,0.9598000,0.9425000,0.9434000,8339822,1741129199999,7947865.4568000,37364,4351276,4149246.5776000
1741129200000,0.9433000,0.9512000,0.9341000,0.9437000,7705602,1741132799999,7254293.7642000,39816,3260056,3070718.0298000
1741132800000,0.9437000,0.9548000,0.9382000,0.9415000,9034271,1741136399999,8539196.8050000,51283,4664044,4410560.5766000
1741136400000,0.9416000,0.9709000,0.9323000,0.9678000,20044693,1741139999999,19208909.0180000,68350,10571595,10132593.0962000
1741140000000,0.9679000,0.9759000,0.9528000,0.9680000,10647115,1741143599999,10256555.5272000,57454,4987859,4807083.4323000
1741143600000,0.9679000,0.9747000,0.9490000,0.9499000,8268151,1741147199999,7956013.7321000,43106,3505566,3377826.3805000
1741147200000,0.9501000,0.9605000,0.9491000,0.9580000,5785394,1741150799999,5515963.4791000,32714,2685142,2560424.7895000
1741150800000,0.9580000,0.9630000,0.9541000,0.9572000,4227458,1741154399999,4051546.0160000,25899,1975506,1893603.0227000
1741154400000,0.9573000,0.9573000,0.9292000,0.9374000,16701629,1741157999999,15689331.0631000,54981,6461767,6068295.3699000
1741158000000,0.9375000,0.9619000,0.9368000,0.9587000,8984992,1741161599999,8533341.3184000,39060,5378537,5107807.9956000
1741161600000,0.9586000,0.9844000,0.9567000,0.9773000,10810806,1741165199999,10499231.3891000,51921,6024068,5851232.5590000
1741165200000,0.9773000,0.9995000,0.9759000,0.9927000,10477702,1741168799999,10374010.8224000,53161,5670311,5614944.5456000
1741168800000,0.9927000,1.0159000,0.9913000,1.0050000,12703453,1741172399999,12746645.0515000,56301,5624872,5643235.8381000
1741172400000,1.0050000,1.0053000,0.9790000,0.9819000,9572620,1741175999999,9481586.3958000,46727,4068491,4031139.6565000
1741176000000,0.9820000,0.9945000,0.9763000,0.9864000,8080109,1741179599999,7967559.8215000,37530,4082656,4028107.2879000
1741179600000,0.9865000,0.9894000,0.9686000,0.9744000,10233278,1741183199999,10030990.2353000,45259,4721450,4629863.5194000
1741183200000,0.9744000,0.9780000,0.9569000,0.9639000,11947707,1741186799999,11554108.0018000,59893,5260899,5090083.4204000
1741186800000,0.9639000,0.9797000,0.9546000,0.9615000,10398481,1741190399999,10037455.2334000,56447,4688926,4529580.9581000
1741190400000,0.9614000,0.9654000,0.9408000,0.9581000,13917633,1741193999999,13258557.6345000,58804,6689340,6375072.0406000
1741194000000,0.9580000,0.9764000,0.9575000,0.9672000,9844321,1741197599999,9502018.6991000,49283,5420675,5232358.9532000
1741197600000,0.9673000,0.9785000,0.9613000,0.9770000,5617408,1741201199999,5451082.0859000,34361,2968782,2881299.3787000
1741201200000,0.9771000,0.9914000,0.9755000,0.9853000,6356347,1741204799999,6261382.4648000,34616,3336543,3287112.9784000
1741204800000,0.9854000,0.9946000,0.9816000,0.9891000,4598052,1741208399999,4541028.9733000,27219,2282720,2255131.3449000
1741208400000,0.9890000,0.9944000,0.9848000,0.9878000,4132656,1741211999999,4087274.5287000,24331,2082585,2060253.5583000
1741212000000,0.9877000,0.9882000,0.9690000,0.9747000,11151365,1741215599999,10903241.1617000,37594,5310986,5190945.0085000
1741215600000,0.9747000,0.9831000,0.9699000,0.9758000,5413327,1741219199999,5284770.1873000,30593,2928386,2859202.8100000
1741219200000,0.9759000,0.9838000,0.9682000,0.9700000,5603747,1741222799999,5460087.3915000,37976,2677945,2610693.3575000
1741222800000,0.9701000,0.9953000,0.9606000,0.9773000,9230628,1741226399999,9018991.8735000,52074,4660445,4554911.5564000
1741226400000,0.9772000,0.9879000,0.9743000,0.9857000,6482075,1741229999999,6355431.8410000,45759,3629625,3559194.6005000
1741230000000,0.9857000,0.9922000,0.9809000,0.9918000,5769387,1741233599999,5688369.3247000,38037,3068123,3025427.6240000
1741233600000,0.9918000,0.9979000,0.9805000,0.9939000,5801068,1741237199999,5733924.9389000,35651,2991460,2957242.1993000
1741237200000,0.9940000,1.0044000,0.9904000,1.0023000,8113288,1741240799999,8103740.2647000,41997,4292172,4287078.2920000
1741240800000,1.0023000,1.0043000,0.9856000,0.9903000,7717547,1741244399999,7647624.7064000,34605,3584760,3552183.2122000
1741244400000,0.9904000,0.9996000,0.9828000,0.9855000,8214765,1741247999999,8146303.4686000,37623,4185871,4153920.3364000
1741248000000,0.9854000,1.0020000,0.9830000,0.9981000,7193966,1741251599999,7148956.5556000,38582,3803251,3779285.6500000
1741251600000,0.9981000,1.0006000,0.9875000,0.9927000,6039208,1741255199999,6010349.9011000,35401,3394542,3378992.3070000
1741255200000,0.9926000,1.0095000,0.9888000,1.0013000,7710173,1741258799999,7730616.5843000,38110,3879188,3889001.3802000
1741258800000,1.0012000,1.0084000,0.9925000,1.0055000,5251245,1741262399999,5257920.8367000,28317,2741072,2744419.1791000
1741262400000,1.0054000,1.0077000,0.9813000,0.9870000,9697068,1741265999999,9625799.1587000,43841,4121145,4092967.8318000
1741266000000,0.9870000,0.9924000,0.9766000,0.9816000,7872218,1741269599999,7756994.6298000,40950,3800866,3746887.2924000
1741269600000,0.9817000,0.9993000,0.9760000,0.9850000,13037276,1741273199999,12878311.5204000,60412,6443048,6368618.2520000
1741273200000,0.9850000,1.0107000,0.9837000,1.0014000,9237422,1741276799999,9243097.1612000,48536,4847725,4851366.0139000
1741276800000,1.0015000,1.0089000,0.9812000,0.9829000,7529344,1741280399999,7502556.0798000,42182,3872209,3860475.7332000
1741280400000,0.9828000,0.9845000,0.9591000,0.9674000,13686450,1741283999999,13279657.4960000,54436,5786033,5618969.4271000
1741284000000,0.9673000,0.9694000,0.9544000,0.9668000,6151263,1741287599999,5920704.8617000,33911,2945550,2837003.8663000
1741287600000,0.9667000,0.9715000,0.9548000,0.9593000,7761942,1741291199999,7469785.2371000,35626,3406246,3278908.4261000
1741291200000,0.9592000,0.9654000,0.9490000,0.9569000,7126176,1741294799999,6820585.2959000,32294,3312038,3171453.8590000
1741294800000,0.9569000,0.9703000,0.9478000,0.9613000,5590676,1741298399999,5356188.1341000,29101,3103693,2974004.5211000
1741298400000,0.9615000,0.9790000,0.9585000,0.9690000,7545586,1741301999999,7311342.7444000,35127,3920905,3798553.8347000
1741302000000,0.9691000,0.9738000,0.9585000,0.9599000,3920346,1741305599999,3782490.8224000,23610,1671775,1614380.0537000
1741305600000,0.9598000,0.9762000,0.9014000,0.9093000,36227612,1741309199999,33728420.7081000,130501,15347239,14310835.0067000
1741309200000,0.9093000,0.9567000,0.9047000,0.9477000,15617349,1741312799999,14569640.7204000,72506,8109365,7563782.8017000
1741312800000,0.9476000,0.9624000,0.9384000,0.9522000,7079753,1741316399999,6726019.5315000,40095,3441670,3271608.4524000
1741316400000,0.9523000,0.9558000,0.9403000,0.9416000,4826835,1741319999999,4575208.8123000,29283,1997863,1894754.5137000
1741320000000,0.9416000,0.9449000,0.9376000,0.9391000,4195761,1741323599999,3951690.7104000,25608,2015388,1898646.0199000
1741323600000,0.9392000,0.9570000,0.9374000,0.9477000,4816326,1741327199999,4567297.7043000,27941,2537093,2405967.2917000
1741327200000,0.9477000,0.9499000,0.9391000,0.9432000,4321251,1741330799999,4079024.1303000,23894,2213334,2089862.3838000
1741330800000,0.9431000,0.9523000,0.9413000,0.9519000,3301306,1741334399999,3123778.1288000,21621,1861632,1762270.9937000
1741334400000,0.9520000,0.9537000,0.9389000,0.9476000,3844129,1741337999999,3633391.2939000,23528,1797540,1699413.2484000
1741338000000,0.9475000,0.9691000,0.9471000,0.9590000,6709126,1741341599999,6434179.6102000,34917,3495700,3351910.3425000
1741341600000,0.9590000,0.9626000,0.9525000,0.9620000,4316089,1741345199999,4130961.4378000,21561,2337055,2237360.7305000
1741345200000,0.9620000,0.9677000,0.9594000,0.9644000,4828287,1741348799999,4650559.0395000,24183,2338337,2253002.5102000
1741348800000,0.9644000,0.9653000,0.9476000,0.9532000,6504751,1741352399999,6213742.0046000,29062,2844591,2718609.9349000
1741352400000,0.9531000,0.9780000,0.9514000,0.9565000,10350034,1741355999999,9985390.5734000,49525,5056929,4879176.9068000
1741356000000,0.9565000,0.9814000,0.9486000,0.9681000,11122430,1741359599999,10736484.2781000,52607,5103370,4928854.9554000
1741359600000,0.9680000,0.9751000,0.9522000,0.9619000,10110869,1741363199999,9735335.7318000,50434,4852098,4672879.9499000
1741363200000,0.9619000,0.9645000,0.9337000,0.9432000,12747168,1741366799999,12069319.8545000,64773,5746876,5444236.4199000
1741366800000,0.9432000,0.9574000,0.9342000,0.9463000,7880266,1741370399999,7442068.6481000,45013,4143100,3913595.7550000
1741370400000,0.9464000,0.9891000,0.9440000,0.9841000,11412202,1741373999999,11066576.7403000,51868,5776229,5599552.9413000
1741374000000,0.9841000,0.9894000,0.9626000,0.9711000,7211892,1741377599999,7032306.1561000,38799,3258724,3177200.3249000
1741377600000,0.9710000,0.9766000,0.9528000,0.9632000,8540453,1741381199999,8236965.0111000,43769,4167351,4021186.6274000
1741381200000,0.9630000,0.9650000,0.9373000,0.9449000,13028429,1741384799999,12341971.2083000,61768,6130038,5807804.9212000
1741384800000,0.9449000,0.9507000,0.9345000,0.9451000,4757745,1741388399999,4483318.6319000,28589,2288349,2156669.2258000
1741388400000,0.9451000,0.9451000,0.9211000,0.9362000,7303116,1741391999999,6796566.7815000,39835,3299213,3070707.9441000
1741392000000,0.9361000,0.9433000,0.9257000,0.9419000,6098366,1741395599999,5687922.8941000,35190,3277886,3057494.6934000
1741395600000,0.9421000,0.9465000,0.9136000,0.9198000,9108195,1741399199999,8425369.8098000,39953,4454789,4121071.0327000
1741399200000,0.9198000,0.9332000,0.9178000,0.9305000,4393441,1741402799999,4066573.1485000,23992,2375670,2197986.9430000
1741402800000,0.9306000,0.9323000,0.9182000,0.9285000,3919789,1741406399999,3628829.6162000,21911,2052896,1900577.9221000
1741406400000,0.9286000,0.9549000,0.9249000,0.9522000,11507569,1741409999999,10833958.9841000,36828,5552836,5232215.2559000
