open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,2.3535,2.4054,2.3399,2.3899,2923605.4,1741085999999,6930234.95827,13118,1436446.9,3405872.54473
1741086000000,2.3904,2.4111,2.3552,2.3574,2627553.7,1741089599999,6265443.40754,11834,1277761.3,3048398.58608
1741089600000,2.3571,2.3637,2.3322,2.3490,2188847.8,1741093199999,5140949.00637,11468,1088120.3,2555765.40586
1741093200000,2.3481,2.3481,2.2900,2.2970,4074036.3,1741096799999,9432413.63347,16025,1960831.4,4541342.88482
1741096800000,2.2976,2.5222,2.2862,2.3631,17008720.9,1741100399999,41105816.86643,47320,8460615.1,20434892.27425
1741100400000,2.3639,2.4117,2.3070,2.3994,7839420.6,1741103999999,18440768.93281,32953,3816382.3,8982473.36681
1741104000000,2.4006,2.4079,2.3096,2.3900,6248085.5,1741107599999,14729851.56834,28163,3174197.2,7488677.52686
1741107600000,2.3899,2.4918,2.3737,2.4452,6173437.6,1741111199999,15042870.09292,24200,3071484.5,7481621.56207
1741111200000,2.4448,2.4933,2.4251,2.4915,5577043.9,1741114799999,13661979.80470,14954,2201628.5,5401473.83696
1741114800000,2.4912,2.5180,2.4707,2.4926,4131929.8,1741118399999,10315003.38156,15716,2083514.4,5203317.73845
1741118400000,2.4923,2.5047,2.4329,2.4362,2657276.6,1741121999999,6570302.16836,10374,1261635.6,3121771.81469
1741122000000,2.4375,2.5362,2.4258,2.4720,4111455.9,1741125599999,10204516.95457,14095,2103301.7,5224215.68034
1741125600000,2.4722,2.4871,2.4464,2.4483,1355826.6,1741129199999,3349647.64691,5610,642003.6,1586496.72655
1741129200000,2.4482,2.4687,2.4476,2.4535,937908.8,1741132799999,2304993.55229,4944,498593.4,1225478.31327
1741132800000,2.4528,2.4721,2.4331,2.4432,1939566.4,1741136399999,4756269.69816,10702,1010038.9,2477682.05155
1741136400000,2.4433,2.4938,2.4317,2.4937,1864506.0,1741139999999,4590276.10500,9928,983320.8,2421521.13727
1741140000000,2.4938,2.5382,2.4772,2.5057,3662289.7,1741143599999,9186825.36207,15019,1635060.3,4100856.71473
1741143600000,2.5049,2.5215,2.4357,2.4372,1956595.2,1741147199999,4873444.20858,10518,923696.4,2303334.37721
1741147200000,2.4375,2.4575,2.4299,2.4505,2331791.7,1741150799999,5703835.24893,10401,1087752.2,2661316.33258
1741150800000,2.4507,2.4553,2.4291,2.4312,1086540.6,1741154399999,2653041.48779,5716,484965.1,1184647.28139
1741154400000,2.4308,2.4465,2.4069,2.4410,1726224.4,1741157999999,4192015.10265,8225,911570.0,2214598.54040
1741158000000,2.4412,2.4531,2.4302,2.4463,1099279.9,1741161599999,2685420.46747,5553,502862.4,1228444.92608
1741161600000,2.4458,2.4949,2.4433,2.4821,1999503.3,1741165199999,4936537.83795,9005,1067988.1,2636104.82802
1741165200000,2.4821,2.5130,2.4754,2.4897,2203592.5,1741168799999,5499003.39355,9857,1119003.8,2793297.76721
1741168800000,2.4897,2.5379,2.4851,2.5115,3031270.8,1741172399999,7625097.81559,12865,1444916.0,3635205.62447
1741172400000,2.5114,2.5135,2.4662,2.4776,1777189.8,1741175999999,4431995.68531,8461,802536.7,2002245.27748
1741176000000,2.4784,2.5062,2.4658,2.4846,1826475.0,1741179599999,4541032.25057,10340,941776.8,2341983.00359
1741179600000,2.4848,2.4968,2.4463,2.4671,2826366.6,1741183199999,6988369.16100,16530,1335297.7,3301923.69938
1741183200000,2.4669,2.4952,2.4472,2.4516,2856567.7,1741186799999,7050162.15567,25728,1410358.9,3481929.85422
1741186800000,2.4516,2.4885,2.4144,2.4468,4086911.2,1741190399999,10005227.39092,30861,1953321.2,4784101.86041
1741190400000,2.4465,2.4789,2.4238,2.4652,2412374.0,1741193999999,5903096.38481,19947,1347493.3,3297980.81526
1741194000000,2.4648,2.5058,2.4609,2.4872,2220343.1,1741197599999,5506056.79996,11491,1161476.7,2881856.06297
1741197600000,2.4873,2.5052,2.4668,2.5005,1365071.5,1741201199999,3395630.98342,8783,686340.0,1708093.53683
1741201200000,2.5009,2.5159,2.4921,2.4946,1780415.2,1741204799999,4454659.64431,9025,872730.2,2184059.40862
1741204800000,2.4950,2.5117,2.4867,2.5017,1267800.8,1741208399999,3168291.57002,7947,606545.9,1515876.79026
1741208400000,2.5018,2.5109,2.4869,2.4988,944931.7,1741211999999,2359544.73229,5784,432965.8,1081369.72575
1741212000000,2.4985,2.5112,2.4923,2.5074,547589.6,1741215599999,1368907.27902,3689,292954.7,732556.96200
1741215600000,2.5078,2.5139,2.4949,2.4985,1082725.0,1741219199999,2711889.25524,7608,559443.5,1401549.30635
1741219200000,2.4984,2.5088,2.4693,2.4730,1891147.4,1741222799999,4700618.98962,11773,887194.5,2205489.33558
1741222800000,2.4735,2.5469,2.4724,2.5140,2694957.2,1741226399999,6762598.57032,13207,1503225.8,3773698.60249
1741226400000,2.5135,2.5274,2.4987,2.5219,1833228.4,1741229999999,4607166.30166,10272,908739.1,2283959.52191
1741230000000,2.5220,2.5303,2.5076,2.5120,1173985.5,1741233599999,2957150.69617,8265,604330.7,1522420.15323
1741233600000,2.5125,2.5345,2.5042,2.5296,948436.9,1741237199999,2388744.29940,6232,494585.6,1245747.98150
1741237200000,2.5295,2.5533,2.5156,2.5234,2007790.0,1741240799999,5084471.81705,9718,934885.8,2368236.77744
1741240800000,2.5238,2.5252,2.5002,2.5013,1020966.5,1741244399999,2565301.41121,5375,486195.1,1221516.15608
1741244400000,2.5009,2.5162,2.4994,2.5111,915943.4,1741247999999,2296171.51599,4913,484382.9,1214488.89356
1741248000000,2.5114,2.5915,2.5089,2.5642,4028989.2,1741251599999,10286720.65290,16307,2136842.8,5448849.23551
1741251600000,2.5643,2.5901,2.5351,2.5723,2247566.3,1741255199999,5762477.86448,10810,1103992.4,2830310.15302
1741255200000,2.5726,2.6449,2.5677,2.6294,4134516.1,1741258799999,10844264.50308,21552,2245862.7,5890305.60620
1741258800000,2.6292,2.6389,2.6047,2.6096,1636978.9,1741262399999,4287688.88796,10807,780612.4,2044985.93937
1741262400000,2.6095,2.6158,2.5656,2.5783,3041319.2,1741265999999,7858497.87749,12249,1369408.3,3539107.32814
1741266000000,2.5781,2.6242,2.5712,2.5904,2207003.6,1741269599999,5735700.58924,12022,1122590.8,2917992.80099
1741269600000,2.5903,2.6148,2.5464,2.5807,3696404.5,1741273199999,9523629.86634,17285,1805228.1,4652036.50442
1741273200000,2.5809,2.6383,2.5757,2.6206,3259008.0,1741276799999,8516574.25962,13970,1640344.1,4287656.11365
1741276800000,2.6203,2.6377,2.5672,2.5727,3349262.7,1741280399999,8729637.21215,14507,1527990.8,3985216.64005
1741280400000,2.5733,2.5807,2.5262,2.5485,3451663.6,1741283999999,8810076.51424,14241,1661362.9,4244354.78513
1741284000000,2.5482,2.5815,2.5477,2.5657,1775032.9,1741287599999,4554094.19100,9097,876197.7,2247854.46243
1741287600000,2.5652,2.6099,2.5484,2.5828,2102632.6,1741291199999,5420766.97301,12204,1112577.7,2867795.94951
1741291200000,2.5833,2.6094,2.5771,2.5958,1375821.8,1741294799999,3571085.74302,8514,601830.5,1562409.44518
1741294800000,2.5963,2.6204,2.5917,2.6035,1542605.9,1741298399999,4015459.07595,7717,837737.6,2180740.91198
