open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,35.05,35.26,34.92,35.20,4238.346,1741085999999,148822.69923,2754,2000.655,70293.23145
1741086000000,35.18,35.38,35.00,35.02,4496.070,1741089599999,158052.66926,3035,1937.723,68107.64777
1741089600000,35.03,35.03,34.50,34.80,8191.238,1741093199999,284413.26300,4228,3417.493,118764.66786
1741093200000,34.79,34.80,33.75,33.86,9932.293,1741096799999,339151.22474,4977,4128.979,141029.31556
1741096800000,33.86,35.63,33.81,34.54,20983.590,1741100399999,731931.11959,8936,11623.279,405038.39763
1741100400000,34.52,34.90,33.90,34.63,13173.646,1741103999999,452943.99485,7692,6152.086,211445.51417
1741104000000,34.62,34.70,33.07,34.21,28282.440,1741107599999,954357.92768,10147,14539.332,490890.37171
1741107600000,34.20,35.02,34.16,34.69,15350.266,1741111199999,532465.90948,5681,8745.602,303515.15146
1741111200000,34.69,35.16,34.57,35.08,11183.033,1741114799999,389062.82385,4341,6001.847,208803.57680
1741114800000,35.07,35.38,34.70,35.01,13898.766,1741118399999,487587.79390,5576,6268.476,220061.88675
1741118400000,35.02,35.41,34.51,34.58,9068.917,1741121999999,317042.15608,4203,4639.342,162012.20971
1741122000000,34.59,35.53,34.56,35.12,10260.100,1741125599999,360787.47212,4988,5451.167,191880.76237
1741125600000,35.14,35.29,34.95,34.97,7379.115,1741129199999,259239.43357,2946,3471.930,122037.04309
1741129200000,34.97,35.13,34.88,35.03,3377.815,1741132799999,118323.20993,2112,1922.788,67392.01295
1741132800000,35.01,35.35,34.93,35.13,6295.551,1741136399999,221233.29987,3323,3269.737,114904.42866
1741136400000,35.15,36.09,35.02,36.03,10808.150,1741139999999,384932.28564,4293,6197.895,220926.63871
1741140000000,36.04,37.13,35.89,36.94,10401.716,1741143599999,379374.52572,4764,5112.039,186820.35611
1741143600000,36.94,37.37,35.60,35.62,18967.491,1741147199999,696568.81692,7389,8789.498,323547.82131
1741147200000,35.62,36.87,35.60,36.34,14697.143,1741150799999,534174.33364,6882,7044.581,255769.41506
1741150800000,36.32,37.19,36.17,36.76,8462.857,1741154399999,310618.15489,4767,4246.873,155919.64264
1741154400000,36.76,36.76,36.22,36.56,6159.205,1741157999999,224647.05680,4387,2842.903,103696.81079
1741158000000,36.55,36.74,36.31,36.44,5375.945,1741161599999,196245.68750,5273,2521.433,92081.49520
1741161600000,36.43,36.75,36.32,36.47,7568.966,1741165199999,276522.16219,3795,3152.917,115146.31041
1741165200000,36.47,36.83,36.35,36.47,7748.780,1741168799999,283463.55169,3688,2547.746,93217.67403
1741168800000,36.49,36.80,36.33,36.77,15626.061,1741172399999,571144.49427,4325,10259.699,375050.28354
1741172400000,36.78,36.89,36.38,36.66,6574.022,1741175999999,240904.86725,3366,3132.096,114774.64084
1741176000000,36.66,36.78,36.54,36.73,5000.039,1741179599999,183160.36775,3028,2292.743,84009.47759
1741179600000,36.74,36.96,36.59,36.67,5432.721,1741183199999,199882.73511,3687,2532.183,93205.99047
1741183200000,36.66,36.99,36.13,36.36,19333.921,1741186799999,706383.66358,7010,8643.093,315336.87541
1741186800000,36.37,36.79,35.86,35.97,9929.994,1741190399999,359848.09063,5403,4360.260,157938.04647
1741190400000,35.96,36.21,35.66,36.00,11485.879,1741193999999,413196.02335,4673,6613.544,238023.69993
1741194000000,36.00,36.34,35.81,36.21,11566.787,1741197599999,417691.09814,4352,6972.723,251906.87886
1741197600000,36.24,36.47,36.14,36.43,3286.947,1741201199999,119273.67654,2194,1767.664,64126.25169
1741201200000,36.44,36.81,36.33,36.33,3129.114,1741204799999,114433.22548,2130,1327.825,48579.25616
1741204800000,36.33,36.48,36.22,36.31,2511.449,1741208399999,91281.08626,1842,1253.514,45564.64241
1741208400000,36.32,36.40,36.02,36.30,4313.695,1741211999999,156354.15013,2482,1668.176,60471.37813
1741212000000,36.31,36.40,36.13,36.40,1890.558,1741215599999,68597.03205,1721,794.207,28821.16265
1741215600000,36.40,36.57,36.28,36.39,2377.346,1741219199999,86617.97636,1923,1146.712,41786.90199
1741219200000,36.38,36.43,35.84,35.90,4292.222,1741222799999,155172.56438,2359,2263.851,81951.32099
1741222800000,35.92,36.41,35.81,36.00,6530.805,1741226399999,235452.15855,3038,3327.979,119948.55466
1741226400000,36.00,36.36,35.91,36.15,7586.015,1741229999999,273753.02996,3472,4493.946,162215.51162
1741230000000,36.16,36.30,35.99,36.29,3237.628,1741233599999,117073.63334,2403,1644.168,59444.38497
1741233600000,36.29,36.35,35.80,36.25,7486.146,1741237199999,270381.15555,2898,3583.529,129475.29000
1741237200000,36.26,36.74,36.15,36.48,6252.443,1741240799999,227951.59153,3225,3006.801,109622.32852
1741240800000,36.49,36.52,36.18,36.19,2922.009,1741244399999,106224.10245,1972,1095.136,39815.10398
1741244400000,36.19,36.31,35.81,35.88,4912.001,1741247999999,176720.55197,2883,1864.815,67117.12167
1741248000000,35.89,36.25,35.77,36.11,4142.297,1741251599999,149039.50731,2639,2161.397,77793.54030
1741251600000,36.13,36.15,35.75,35.82,3445.451,1741255199999,123849.46150,2387,1227.568,44125.48992
1741255200000,35.81,35.99,35.75,35.93,4429.363,1741258799999,159064.51330,2581,1921.949,69006.35842
1741258800000,35.93,35.97,35.77,35.80,4034.515,1741262399999,144764.52631,1833,1776.225,63719.89615
1741262400000,35.82,35.82,35.28,35.55,12457.419,1741265999999,442547.53850,4446,6672.507,237097.29738
1741266000000,35.54,35.64,35.21,35.28,4009.735,1741269599999,141991.70806,2715,1604.632,56884.49249
1741269600000,35.27,35.52,34.82,35.05,8475.134,1741273199999,297667.30953,4490,4249.374,149456.20902
1741273200000,35.04,35.46,35.00,35.37,9139.872,1741276799999,322365.34086,4146,5323.757,187862.64630
1741276800000,35.37,35.41,34.75,34.79,9862.130,1741280399999,345911.38478,4449,3662.295,128450.76072
1741280400000,34.79,34.83,33.84,34.33,14845.799,1741283999999,509154.35497,7268,7968.973,273218.61562
1741284000000,34.32,34.33,33.94,34.06,6470.284,1741287599999,220906.64696,3108,3767.687,128630.71431
1741287600000,34.06,34.21,33.77,33.84,4625.594,1741291199999,157069.33931,2992,2294.970,77937.07935
1741291200000,33.85,34.11,33.77,34.03,4309.787,1741294799999,146227.44971,2495,2305.367,78226.24131
1741294800000,33.99,34.16,33.86,34.06,7133.286,1741298399999,242548.25973,3196,3675.695,125031.57076
1741298400000,34.06,34.42,34.01,34.15,4646.464,1741301999999,159046.40937,2753,2220.397,75996.71056
1741302000000,34.14,34.22,33.95,34.06,2748.296,1741305599999,93677.32924,1843,1224.138,41732.75228
1741305600000,34.05,34.46,32.76,32.90,35511.360,1741309199999,1183253.48737,10170,16162.257,538400.76656
1741309200000,32.90,33.96,32.76,33.61,11180.064,1741312799999,371922.00788,4801,5968.084,198489.47350
1741312800000,33.61,33.87,33.42,33.55,8520.261,1741316399999,286593.36135,3659,4779.914,160833.21128
1741316400000,33.56,34.00,33.54,33.56,5283.144,1741319999999,178425.84318,2820,2629.760,88874.25952
1741320000000,33.55,33.84,33.50,33.62,2272.861,1741323599999,76634.95677,1915,1131.119,38125.20322
1741323600000,33.61,33.70,33.43,33.59,4363.020,1741327199999,146437.63573,2515,2264.941,76052.15719
1741327200000,33.59,33.63,33.36,33.54,2751.462,1741330799999,92070.81500,1796,1308.153,43777.20401
1741330800000,33.53,33.86,33.44,33.84,3753.946,1741334399999,126388.09340,2025,2318.022,78113.74132
1741334400000,33.85,33.89,33.23,33.42,6666.095,1741337999999,223555.10209,3883,3021.854,101316.84008
1741338000000,33.40,33.91,33.39,33.61,3091.109,1741341599999,104152.61712,3721,1696.533,57176.11804
1741341600000,33.62,33.76,33.38,33.63,3406.902,1741345199999,114469.92726,1883,2178.709,73236.42629
1741345200000,33.64,33.77,33.45,33.53,2896.022,1741348799999,97334.03303,1839,1305.077,43860.31636
1741348800000,33.53,33.61,33.25,33.41,3555.486,1741352399999,118811.05306,2010,1624.557,54298.86408
1741352400000,33.40,33.80,33.02,33.36,11693.021,1741355999999,390549.82130,4835,5300.643,177200.27884
1741356000000,33.37,33.57,32.81,33.41,10862.362,1741359599999,360922.27330,4498,4995.743,165798.08830
1741359600000,33.39,33.66,32.98,33.38,8456.517,1741363199999,282194.71985,4220,4421.001,147517.68089
1741363200000,33.37,33.52,32.81,33.07,7643.292,1741366799999,253181.12760,4408,4052.401,134241.45817
1741366800000,33.07,33.64,32.88,33.43,6253.253,1741370399999,207585.99709,3294,3092.425,102649.95209
1741370400000,33.43,33.95,33.38,33.89,5316.231,1741373999999,178959.47050,2910,2410.041,81142.81548
1741374000000,33.90,34.25,33.62,33.87,8213.808,1741377599999,278428.73931,4065,5028.687,170423.90395
1741377600000,33.87,34.06,33.50,33.63,8814.741,1741381199999,297724.60113,4755,3875.544,130955.17794
1741381200000,33.61,34.03,32.81,33.66,23040.820,1741384799999,771324.52018,9032,12762.377,427090.49816
1741384800000,33.65,33.69,33.01,33.20,8743.856,1741388399999,291957.37850,3802,4725.183,157707.38679
1741388400000,33.19,33.19,32.71,32.95,4214.605,1741391999999,138724.36891,3230,1968.300,64775.80300
1741392000000,32.95,32.96,32.51,32.89,8488.870,1741395599999,277854.88873,4207,3846.189,125884.75475
1741395600000,32.90,33.02,32.37,32.59,6765.361,1741399199999,220768.41666,3661,2836.941,92572.26628
1741399200000,32.60,33.04,32.48,32.87,5452.894,1741402799999,178515.79589,2809,2719.213,89080.53331
1741402800000,32.88,32.98,32.59,32.85,3656.802,1741406399999,119912.67338,2399,1785.538,58527.45475
1741406400000,32.86,33.13,32.71,33.11,4203.505,1741409999999,138586.66483,2327,1530.219,50486.52589
1741410000000,33.10,33.33,32.98,33.03,4369.824,1741413599999,144876.29555,2321,2279.831,75594.64380
1741413600000,33.02,33.31,32.91,32.96,6270.781,1741417199999,207903.36241,2677,3045.836,101042.00193
1741417200000,32.96,33.12,32.76,32.83,4118.334,1741420799999,135785.26629,2099,1525.732,50341.51699
1741420800000,32.83,32.84,32.57,32.62,2915.768,1741424399999,95356.59040,1897,1386.318,45328.91085
1741424400000,32.61,33.00,32.61,32.77,4173.313,1741427999999,136918.29849,2254,1630.870,53499.93720
1741428000000,32.77,32.97,32.73,32.88,2585.019,1741431599999,84950.62110,1678,1146.916,37689.07710
